                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.1592,                0.89703,                 1.2051,                0.88584,                0.62553,                0.75793,                0.51107,                 1.2147,                0.92484,                  1.317,              0.0087238,              0.0087238,              0.0087238
                    134,                 1.1252,                 0.8986,                 1.2117,                0.84187,                0.67108,                0.74847,                0.48066,                 1.2949,                0.96404,                 1.3795,              0.0087142,              0.0087142,              0.0087142
                    135,                 1.1519,                0.89899,                 1.1946,                0.89842,                0.64916,                0.78753,                 0.5232,                 1.2674,                0.87147,                 1.3492,              0.0087045,              0.0087045,              0.0087045
                    136,                 1.1372,                0.89806,                  1.182,                0.86969,                0.64595,                0.76544,                0.51682,                 1.2114,                 0.8935,                 1.3123,              0.0086948,              0.0086948,              0.0086948
                    137,                 1.1437,                0.90564,                 1.1823,                0.85447,                0.70398,                0.77784,                0.50277,                 1.2332,                0.88363,                  1.322,              0.0086852,              0.0086852,              0.0086852
                    138,                 1.1007,                0.86257,                 1.1711,                0.82466,                0.69721,                0.77225,                0.47948,                 1.3604,                0.89625,                 1.3935,              0.0086755,              0.0086755,              0.0086755
                    139,                 1.0941,                0.86958,                 1.1686,                0.90257,                0.63144,                0.78232,                0.52411,                  1.235,                0.85409,                 1.3195,              0.0086658,              0.0086658,              0.0086658
                    140,                 1.1159,                0.87795,                 1.1831,                0.80212,                0.66767,                0.76856,                  0.514,                 1.2762,                0.85954,                 1.3381,              0.0086562,              0.0086562,              0.0086562
                    141,                 1.1188,                0.88018,                 1.1761,                0.81749,                0.67809,                0.74846,                0.49422,                 1.2661,                0.90006,                 1.3513,              0.0086465,              0.0086465,              0.0086465
                    142,                 1.1268,                 0.8828,                 1.1882,                0.81267,                0.67373,                0.74567,                0.50143,                 1.2562,                0.88028,                 1.3513,              0.0086368,              0.0086368,              0.0086368
                    143,                 1.1279,                0.87095,                  1.195,                 0.8075,                0.65096,                0.75856,                0.51111,                 1.3085,                0.95116,                 1.3807,              0.0086271,              0.0086271,              0.0086271
                    144,                 1.1156,                0.85123,                 1.1672,                0.87379,                0.71341,                 0.8111,                0.53302,                 1.2941,                0.85593,                 1.3307,              0.0086175,              0.0086175,              0.0086175
